value,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mediapipeResult,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
centre,0.056873223366111045,0.04072627675600026,0.12775697765122887,0.1926290342885419,0.13307651187986522,1.0149162029426214e-4,1.211392608361809e-7,1.7860860718874595e-7,0.16498713556640784,0.18393681078388735,0.17340133808780028,0.22967491111801203,0.13389134940002526,0.18242149676551833,0.19793402694666468,0.14186875141185215,0.15139865570763378,0.10602063863046654,0.5051166746694673,0.3443019399432296,0.013822501472259338,0.00823564562719793,3.5075016112900786e-4,0.013812244335733645,0.4196428635136767,0.0023124509850824676,7632.55436295646,0.2754727788354141,0.01104141452338404,0.014640341958163872,0.004700449176872782,0.0032444373255316296,0.004772255379792428,0.006563212223856797,0.012956830199103054,0.013612778696962317,0.03257823647187873,0.043592410644301624,0.1273994045763533,0.01252147604750117,0.03299713499040394,0.04297092818041818,0.029451728902758115,0.005959599914061851,0.026554017556045997,0.033955772339813395,0.01122381742446749,0.01641215816611093,0.005465153016215487,0.009677657078342365,4.883972248829427e-7,4.258050858790055e-7
PC1,-0.0065899767535022,-0.004817702534895667,0.0048653415764069305,0.014949337807316011,-0.006496904042599954,1.5015323357460805e-5,4.669676156918119e-10,-7.976335042492131e-9,0.0011033036291030439,0.01746848483029132,-7.997525695370959e-4,0.010132540323402049,0.012928328420894948,-0.002304620329255392,-0.009799851502053506,0.006162971376689052,0.005396005243419636,-0.0052356714853170954,0.007898599294835601,-0.00911211736455698,9.965106429019289e-4,-7.37384666477665e-4,1.5503709473413635e-4,-4.6616820127359223e-4,-0.042249825581164864,-2.734302696677977e-4,779.1477795996107,-0.03078508285599202,-0.0010205094405878498,-4.453087001879477e-4,0.0024003864935886474,0.0015570377322636586,-2.287385804348995e-4,-5.69806852639162e-4,0.0052640156611370136,0.005273748597696132,-0.0015173332083004327,0.0020054445757993022,-0.016673527678038213,-0.0012481687091319355,-0.0029674494097538607,-0.003575140877174689,4.072547369898908e-4,0.0015027656536707892,0.012337462679641654,0.018358896137952496,0.005313466102468739,0.011085560958017007,0.003991677387300158,0.007195206031477414,2.3215436160097288e-7,8.310740517989805e-8
PC2,-0.016019576872423495,-0.00492098424314343,0.011078411888966539,0.02780897552440813,0.0167949035609955,1.781075629182165e-6,-2.7598603990659533e-8,5.808588221328354e-9,-0.007860360576087987,-0.0013811223267147673,-0.009297496974671974,-0.008723338632587495,0.016065949191787655,-0.007594943657200827,-0.008535697219907183,0.015140178516607733,0.010189880809658573,0.00742463221119482,-0.008721947601062348,-0.02585917770301819,0.0012153892126463511,2.6550390123786585e-4,3.877649458607771e-6,-0.01069287277414442,0.017475964303276963,2.990227374504029e-4,-809.9960984518643,0.008842707418321659,4.0050754510061165e-4,-0.002843039069754757,1.2046874267565326e-5,-6.56556574537156e-5,6.545244775311987e-4,-8.147779394497474e-5,-3.1375403354181827e-4,1.9673275677102294e-4,-2.0507314281949552e-4,-0.0038576043873116144,0.01583110515511455,-0.011879129710572995,-0.014832583693758226,-0.012575026048542005,-0.02044436487144369,-0.0021998164457014795,-9.460421995246467e-4,-0.001087230029819291,4.0454118799387553e-4,-1.7313369886916389e-4,-3.3212721795156103e-4,-8.483910553789108e-4,2.837825148696771e-8,-1.2313152190840865e-8
PC3,0.011611936675731556,0.01008791097022002,-0.022468385596234767,-0.0193422939497114,-0.01280648394145177,1.4278660700877099e-5,-5.0681121197754115e-9,-1.3258093614115027e-8,-0.017946999921008008,-0.008773023852458846,-0.03448156333566067,-0.035895679765596065,-0.03593635073911697,0.01843887900195722,0.01597367421313985,-0.03833417047444746,0.023205088243742542,0.0179692857382599,0.004361833768844098,0.011233114587192164,6.120234768778652e-4,6.91531344281883e-4,8.236540687902564e-5,2.989459371600932e-4,0.033136723964998144,4.154741082450737e-4,38.93065116460996,0.0321985406179268,0.0010095845438073652,2.811973851848057e-4,-2.4440578737947624e-4,-1.6114611483808347e-4,7.346182695707313e-4,2.0402210481100237e-4,0.003352746677264732,0.0036618703143696924,0.00154567394088555,-0.0029416142764399525,0.030281098467834635,4.510771548770658e-4,6.069305955221933e-4,0.0021317472471700815,-3.3934425659159736e-4,2.444736485906205e-4,0.006536722236690198,0.009076728453274898,-7.3807272014436e-4,0.004066955354898578,0.0018791716516790324,0.003449952171854416,6.650537341695503e-8,3.584476231817733e-9
PC4,-0.0054695650667054814,-0.0061150668611755716,0.0024412851076104614,-0.004964893447968888,0.014144364410395358,5.439083563704273e-6,2.6070380460645438e-8,1.2643223988041274e-7,-0.008731709093661272,-0.01759615904128215,-0.004261584235429468,-0.0067755513752276635,-0.0033556196555339602,0.01703199278407568,0.013249486787870026,-0.007081482455219175,-0.007661711179929273,-0.004049524436056245,-0.02405340257964919,-0.014991124577734848,2.681041545291696e-4,0.0024669069078520835,1.5187349973630155e-5,-0.0018986345183782324,-0.023897910957246242,1.485130357280765e-4,-397.90096835783584,-0.030945767348369367,0.0023473856518970867,4.701229767841324e-4,-3.470360692404858e-4,-1.628198700731577e-4,-5.938447812789193e-4,0.004192681255169141,1.9784428622753676e-4,2.3927103443115944e-4,0.011005719088549429,0.004536045916898222,-0.025138513450764823,-0.002401375982784062,0.0039295090619664175,-9.597638712714447e-4,-0.0023450446050677044,-4.181717852771029e-4,0.005758972837595499,0.005467679708617815,-6.36743176283659e-4,4.4247478978963413e-4,3.045564727845985e-4,2.614818507851375e-4,3.468337237288034e-8,8.912834650754987e-8
PC5,-0.007512611290152172,-0.008178456155835368,0.025002578611924786,0.041110761024540886,0.05137109057339933,7.103133679944265e-6,1.719051815961468e-11,2.2138276186875904e-8,0.003701342761607606,5.573286570221238e-4,0.011763415324333414,0.02843641764865461,-0.046784228742717,0.021938638933851954,0.026948598253314675,-0.04619385352065453,0.0025821022448075863,-0.005992172241459596,-0.0026550811869799867,-0.025297739210657918,6.699848864909813e-4,-1.177375898898703e-4,-1.0396596063932446e-5,0.002765866120183682,0.04856546772322219,1.5363355685337843e-4,293.9628657358137,0.009959831210344841,-0.0021439766764968795,-1.3779936853171206e-4,-6.936153107077636e-4,-1.9933183360878808e-4,2.169335895105681e-4,-0.0018998030360958909,1.285534244349439e-4,-3.4606460718496695e-4,-0.007157880170849275,-0.0042517677015064875,0.007548432355274537,0.002423831958015674,0.0015936712996641163,0.005470356831767876,0.005090330884123129,5.720536321619485e-4,-0.0018526022837117174,-0.0011929893459803882,-0.0029685470647764487,-5.501793355012719e-6,3.3893683377429653e-4,7.175634332419978e-4,1.1109171558190572e-7,7.168172724284146e-8
PC6,-0.0014415918352379735,0.004739346504008567,0.0031097086089167357,-0.02644159356872183,-0.004755857134682358,7.15878848240765e-6,1.3360685534868831e-8,-1.8105491107590752e-9,0.03863275594774948,0.02150519884889578,0.021539030460727943,0.011277918037543515,-0.04535303469056599,-0.002301857414546924,-0.003945983144640813,-0.0454184888413996,-0.011310521674166607,-0.006355786309492019,0.0026001392073699606,0.03228582494892455,-0.0033617243544488157,-0.0010627976926651356,2.5374708352036798e-5,-0.00557025867379753,0.020486121247507826,2.0877490925821934e-4,1141.88762093339,0.015146028070690246,0.002596388196307686,-0.0020857961875291563,-4.789561855385482e-4,1.696809830284967e-5,-2.726186544778998e-4,6.932619344489493e-4,8.40347303820667e-4,0.0018731775451169563,0.0059050485012822375,-0.005964168155330466,-0.007781285633650172,-0.006904348632951431,-0.00563454373334881,-0.004140987516049169,-0.0077906765702122505,-3.929326338578397e-4,0.002783540130867694,0.002533513907455934,-0.002700105312554948,-2.0984770497282568e-4,4.444597214616111e-4,5.06313603263616e-4,-2.806299928066716e-8,6.07282428442134e-8
PC7,-9.574615594390905e-4,-0.0032213252222799754,-0.018173783813041938,-0.0067933443741628454,-0.010345201970503873,-1.119300506274338e-5,5.0238226587909305e-8,6.07189139757202e-9,0.018221005988998163,0.017850134495604617,0.017858859718001052,0.006499520502313151,0.01607501108509725,0.010029556171732032,0.005903925869896997,0.016640811592422988,0.008530022538395493,0.009080182807569562,-0.0025984166375347608,-9.5952066405411e-4,0.002505195968776387,0.001998537538716602,-4.99859303633863e-5,5.505369192688617e-4,-0.04356727443155641,3.0773572219246404e-4,1842.5993365976753,-0.026870116559495692,-0.0018713471477602014,-0.003812006147954546,4.6689191661587124e-4,3.9846336309785343e-4,6.087724276340114e-4,0.0022658610201476766,-0.002548557583217498,-0.003353816962324657,-0.003227850013525903,-0.006444512699587701,0.04107624258400435,-6.916203137433627e-5,0.0016685754693968164,-0.0024010285090110685,0.0021411748607991785,8.136627033774618e-4,0.0010791507931046094,4.007604054689774e-4,5.273979189341038e-4,-1.1259147309641902e-5,6.836069368778677e-5,-7.69929558406101e-6,-1.5088191391148685e-8,-4.2344797188948676e-8
PC8,-0.012384877077933693,-0.013028673714064356,0.017324898419533143,-0.009816075073730137,-0.007257480786652848,-8.96225823808406e-6,2.994513037639748e-8,-1.1532150211044018e-8,-0.007962144097365882,-0.012433435333911735,-0.013687352603073601,-0.021740418543314245,-0.02003441013161669,-0.016898078172690977,-0.01743519699536435,-0.016937188244692297,0.005793171018613618,0.005738576131428909,-0.021892349909009307,-0.004270237725623383,-0.0030115743368340268,3.199254310053028e-5,8.810331053322832e-6,-9.183608534548048e-4,0.010063070380418966,-9.569429214902362e-4,2079.172314431634,0.03553483551889925,-0.0022560319826396085,0.0030818038775500545,-5.099846740494696e-4,-1.5296950496304168e-4,0.0010384712066638184,0.0011473935885767215,8.079928950742174e-4,-5.337930284894597e-4,-0.0027301004643793692,0.0022999757519852793,0.01019483376847953,-7.853726049677817e-4,-2.204690158553431e-4,-0.002823478143217782,-3.9289197898121974e-4,4.5352216990545964e-4,0.0015510655401624815,0.0031389347327082213,-0.00252318716202587,3.7327050937224185e-4,7.497990446433437e-4,0.001181847855571832,-8.142272920455407e-8,3.1184596401291614e-8
PC9,-0.018124886152469773,-0.017389006766874795,-0.005231814922036852,-0.010385593705898815,-0.014957887728557799,4.264467734013074e-6,-3.216852161098863e-9,-9.730376996039653e-8,0.017838350610855303,0.016075849758383522,0.010463794238189085,-0.0028398361603054235,-0.0044311895806639825,0.006736620409689907,0.0031114430558599154,-0.006845526291864842,-0.00538135227185611,-7.909800185303083e-4,-0.018085433487586323,0.010386387472480189,0.0027289521315851015,9.184491795290248e-4,2.8952811003947717e-5,0.0032614090039763807,-0.004495053278197226,9.025260257318717e-4,-146.72337006063694,0.0034414314083918126,0.002072038865887854,0.005267227043199177,-3.7519881697533345e-4,-3.0678976788207945e-4,6.361096292761264e-4,-0.0018732451885435277,0.0013083926039414288,0.0016024996719745633,0.0025989648653176782,0.0026927858100935136,-0.019732346968404993,0.0036398071707448377,-0.007519016149271104,-0.0036354685498719342,0.002892343402787293,5.030230042190995e-4,4.8529190682694134e-4,7.841633212043672e-4,-9.234887588070481e-4,-9.14768248924018e-4,-3.85187907670908e-4,-3.8473039897812e-4,-1.653518425100573e-8,-9.914986894824564e-8
PC10,0.00426909596873502,0.004132940940957414,0.017978468191288906,-0.042164843914918516,-0.03454945461115515,-8.248849055422832e-6,1.727293214915378e-8,-2.9576592117644297e-8,-0.0037264407059649333,-0.01112447724305846,0.007985270038834733,-9.334362085957067e-4,0.0011130389409130088,0.012088743619304069,0.004092270818243017,-0.004594833523704227,-0.017318541682259905,-0.010471038272736924,-0.01947217802418433,-0.007242574472355571,0.00156338329946058,6.93870554893223e-4,5.705062690122778e-8,-0.00417774866581459,0.04023857644446339,2.949899554770453e-4,-904.0942903393927,0.08104757382674828,-0.002201520235512807,4.1017793174369664e-4,0.001378948439558386,9.528918391760084e-4,-0.0015057354907013207,-9.246401404112199e-5,3.506996608671618e-4,-4.643034386362001e-4,-0.008488674682740019,0.0010328071841181072,0.024306640326680166,-0.005095809230683525,-0.003682621771862204,-5.6645942437357996e-5,-0.004733978461741803,1.184656302821337e-4,-3.865189428120884e-4,0.0019443032757799246,0.0025603070426466526,0.002831172358993919,8.286167671116716e-4,0.0013752584697802198,2.168037544518113e-8,1.5817916348961566e-8
PC11,0.010034871501511894,0.006757362320161328,-0.052232174353114794,0.021151363970997247,0.009215895498529258,5.6276705401165464e-6,-7.897645047205929e-9,-7.487260605147345e-9,0.014454666927061125,0.00823385942510265,0.026483289091771584,0.017518895439463465,0.007853648205521655,0.010926559338914878,-0.0020361953874983895,-0.012160220823168056,0.005850263616429527,0.01632472646612344,-0.03049730007174429,2.909802635017564e-4,6.613690151528964e-4,-5.8353348842794205e-5,-1.975361921205083e-5,-9.074569032755423e-4,0.008972045462723694,-9.819267782566691e-4,-1254.270957092013,0.04060500763752427,-7.337857327792436e-4,7.408211714198679e-4,2.336544101874236e-4,4.3346809703989923e-4,1.424536468937631e-4,-1.511880803580964e-4,-7.208708678590559e-4,-0.0010470499705190323,-0.0014963829339624808,0.0013053731561260015,-0.03256201272606141,-0.0011027242601695806,-0.0020934180482330587,-0.009909246234036745,0.002118831483433311,8.939487805387139e-4,-0.0018516352985513702,-0.0023203153951447198,-7.577975713216022e-4,-0.001067417154029951,-2.3644013950707677e-4,-5.848208914912219e-4,-4.065239538153932e-9,8.195107875175905e-8
PC12,0.009432769405631253,0.01569243541078915,0.03935862880594798,-0.007576531334942719,-0.0019037930561758578,9.560777881145995e-6,6.5756349070811134e-9,1.7996255679599948e-8,0.015045295195180514,0.025706583383851983,-0.0014252134142287325,-0.011330670122974038,0.010244539381157299,0.019162033265755374,0.024451418009365702,0.020172425871531032,0.010701581062698268,0.005369322193841501,0.016110791773732674,9.62192352204877e-4,0.0010468285547828105,7.316120361417285e-4,-2.862577564839066e-5,-0.0015728081369664453,0.0018833716623101364,-6.484689552799148e-4,1181.149202129828,-0.02717008132456684,-0.0010348114438744947,0.00481734008742647,-6.781906522937731e-4,-5.866404678320036e-4,-2.8915575991047274e-4,-3.5745345188407826e-4,-4.7059062169375264e-4,-0.0010554977871207766,-0.001046401173583499,0.004332841280375757,-0.007192835923523869,-0.003112097037749356,-0.0060711547351636995,-0.01096875056726844,-0.008024446089946586,-0.0011347477334796056,-0.0011195170297780904,-0.0014526451335142483,-4.588196870684927e-4,-0.0018010425320637447,-8.67281946416318e-4,-0.0015961941639873235,-9.835115252448998e-9,-2.728980198903562e-8
PC13,-0.00161245514328088,-0.014931336823370818,-0.017132358405111892,0.022304731986473734,0.017913520232433224,-1.0054472925230099e-5,3.477532371629228e-8,4.926904370712461e-9,-0.023248013843858075,-0.0018909752224678213,0.032342018866063756,-0.033052259093296864,3.640081763100468e-4,-0.0016976789545805203,0.014924150924633946,-0.011157708231122238,-0.005545488059182889,0.006728121324135075,0.045315593937524816,0.020156773361363015,0.0011519676473742782,-3.224132934755359e-4,-1.5185975371386358e-5,-0.0029770910380286764,-0.03001988403018761,-7.792178530753606e-5,-45.021939042822325,0.06758194087089332,1.6784963156661964e-4,6.739873330107138e-4,-1.290925277565898e-4,2.6618810534272987e-4,-3.5094858938413645e-4,-4.4654123344898373e-4,-2.780222290121311e-4,1.383084993147461e-4,0.0015620572521714048,0.002894066602763262,-0.014480306903922985,-0.005471302382360935,-0.005006370074986118,-1.9763781015004e-4,-0.0011854078486987058,-3.7980322640700996e-4,0.0014054333941357381,-5.278249814449717e-4,1.3195233505757873e-4,-0.0013350996751535097,-2.0967453959360623e-4,-0.001293171811197066,-1.1719017363939063e-9,4.372409995185823e-8
